奉贈韋左丞丈二十二韻 // 0276 0001,中7.2251,中PDF7.30,揚31.4
憶昔行 // 5489 0304,中7.2370,中PDF7.149,揚32.48
魏將軍歌 // 0615 0305,中7.2371,中PDF7.150,揚32.48
北風 // 5887 0306,中7.2371,中PDF7.150,揚32.49
客從 // 5929 0307,中7.2371,中PDF7.150,揚32.49
白馬 // 6036 0308,中7.2371,中PDF7.150,揚32.49
白鳧行 // 5934 0309,中7.2372,中PDF7.151,揚32.49
朱鳳行 // 5938 0310,中7.2372,中PDF7.151,揚32.49
惜別行送向卿進奉端午御衣之上都 // 5497 0311,中7.2372,中PDF7.151,揚32.49
醉歌行贈公安顏少府請顧八題壁 // 5609 0312,中7.2372,中PDF7.151,揚32.50
夜聞𥷑篥 // 5659 0313,中7.2373,中PDF7.152,揚32.50
發劉郞浦 // 5653 0314,中7.2373,中PDF7.152,揚32.50
別董頲 // 5655 0315,中7.2373,中PDF7.152,揚32.50
送重表姪王砅評事使南海 // 5948 0316,中7.2373,中PDF7.152,揚32.51
詠懷二首 // 5763-1 0317-1,中7.2374,中PDF7.153,揚32.52
詠懷二首 // 5763-2 0317-2,中7.2374,中PDF7.153,揚32.52
送顧八分文學適洪吉州 // 5612 0318,中7.2375,中PDF7.154,揚32.53
上水遣懷 // 5708 0319,中7.2375,中PDF7.154,揚32.53
遣遇 // 5715 0320,中7.2376,中PDF7.155,揚32.54
解憂 // 5718 0321,中7.2376,中PDF7.155,揚32.54
宿鑿石浦 // 5760 0322,中7.2376,中PDF7.155,揚32.54
早行 // 5755 0323,中7.2377,中PDF7.156,揚32.55
過津口 // 5774 0324,中7.2377,中PDF7.156,揚32.55
次空靈岸 // 5777 0325,中7.2377,中PDF7.156,揚32.55
宿花石戍 // 5780 0326,中7.2377,中PDF7.156,揚32.55
早發 // 5784 0327,中7.2377,中PDF7.156,揚32.56
次晩洲 // 5788 0328,中7.2378,中PDF7.157,揚32.56
望嶽 // 5792 0329,中7.2378,中PDF7.157,揚32.56
湘江宴餞裴二端公赴道州 // 5815 0330,中7.2378,中PDF7.157,揚32.56
清明 // 6007 0331,中7.2379,中PDF7.158,揚32.57
風雨看舟前落花戲爲新句 // 5989 0332,中7.2379,中PDF7.158,揚32.57
岳麓山道林二寺行 // 5732 0333,中7.2379,中PDF7.158,揚32.57
奉送魏六丈佑少府之交廣 // 5908 0334,中7.2379,中PDF7.159,揚32.58
別張十三建封 // 5876 0335,中7.2380,中PDF7.159,揚32.59
暮秋枉裴道州手札率爾遣興寄近呈蘇渙侍御 // 5862 0336,中7.2381,中PDF7.160,揚32.59
奉贈李八丈判官 // 5871 0337,中7.2381,中PDF7.160,揚32.60
歲晏行 // 5661 0338,中7.2382,中PDF7.161,揚32.61
追酬故高蜀州人日見寄 // 5941 0339,中7.2382,中PDF7.161,揚32.61
蘇大侍御訪江浦賦八韻記異 // 5855 0340,中7.2383,中PDF7.162,揚32.62
題衡山縣文宣王廟新學堂呈陸宰 // 6048 0341,中7.2383,中PDF7.162,揚32.62
入衡州 // 6018 0342,中7.2384,中PDF7.163,揚32.63
舟中苦熱遣懷奉呈〔陽〕（楊）中丞通簡臺省諸公 // 6039 0343,中7.2384,中PDF7.163,揚32.64
聶耒陽以僕阻水書致酒肉療飢荒江詩得代懷興盡本韻至縣呈聶令陸路去方田驛四十里舟行一日時屬江漲泊於方田 // 6056 0344,中7.2385,中PDF7.164,揚32.65
冬日洛城北謁玄元皇帝廟 // 0173 0345,中7.2387,中PDF7.166,揚32.66
贈韋左丞丈 // 0209 0346,中7.2387,中PDF7.166,揚32.67
投贈哥舒開府二十韻 // 0563 0347,中7.2388,中PDF7.167,揚32.67
上韋左相二十韻 // 0581 0348,中7.2388,中PDF7.167,揚32.68
奉贈太常張卿二十韻 // 0506 0349,中7.2389,中PDF7.168,揚32.68
敬贈鄭諫議十韻 // 0311 0350,中7.2389,中PDF7.168,揚32.69
奉贈鮮于京兆二十韻 // 0328 0351,中7.2390,中PDF7.169,揚32.69
贈特進汝陽王二十韻 // 0126 0352,中7.2390,中PDF7.169,揚32.69
鄭駙馬宅宴洞中 // 0120 0353,中7.2390,中PDF7.169,揚32.70
李監宅 // 0062-1 0354,中7.2390,中PDF7.170,揚32.70
重題鄭氏東亭 // 1276 0355,中7.2391,中PDF7.170,揚32.70
題張氏隱居二首 // 0013-1 0356-1,中7.2391,中PDF7.170,揚32.70
題張氏隱居二首 // 0013-2 0356-2,中7.2391,中PDF7.170,揚32.70
天寶初南曹小司寇舅於我太夫人堂下累土爲山一匱盈尺以代彼朽木承諸焚香瓷甌甌甚安矣旁植慈竹蓋茲數峯嶔岑嬋娟宛有塵外數致乃不知興之所至而作是詩 // 0059 0357,中7.2391,中PDF7.170,揚32.71
龍門 // 0073 0358,中7.2392,中PDF7.171,揚32.71
奉寄河南韋尹丈人 // 0161 0359,中7.2392,中PDF7.171,揚32.71
贈李白 // 0099 0360,中7.2392,中PDF7.171,揚32.72
與任城許主簿遊南池 // 0025 0361,中7.2392,中PDF7.171,揚32.72
登兗州城樓 // 0008 0362,中7.2392,中PDF7.171,揚32.72
劉九法曹鄭瑕丘石門宴集 // 0022 0363,中7.2393,中PDF7.172,揚32.72
暫如臨邑至㟙山湖亭奉懷李員外率爾成興 // 0092 0364,中7.2393,中PDF7.172,揚32.72
對雨書懷走邀許十一簿公 // 0027 0365,中7.2393,中PDF7.172,揚32.72
巳上人茅齋 // 0030 0366,中7.2393,中PDF7.172,揚32.72
房兵曹胡馬詩 // 0034 0367,中7.2393,中PDF7.172,揚32.73
畫鷹 // 0038 0368,中7.2394,中PDF7.173,揚32.73
與李十二白同尋范十隱居 // 0095 0369,中7.2394,中PDF7.173,揚32.73
臨邑舍弟書至苦雨黃河泛溢隄防之患簿領所憂因寄此詩用寬其意 // 0053 0370,中7.2394,中PDF7.173,揚32.73
過宋員外之問舊莊 // 0048 0371,中7.2394,中PDF7.173,揚32.74
夜宴左氏莊 // 0068 0372,中7.2395,中PDF7.174,揚32.74
送蔡希曾都尉還隴右因寄高三十五書記 // 0622 0373,中7.2395,中PDF7.174,揚32.74
春日憶李白 // 0107 0374,中7.2395,中PDF7.174,揚32.74
贈陳二補闕 // 0400 0375,中7.2395,中PDF7.174,揚32.74
寄高三十五書記 // 0406 0376,中7.2396,中PDF7.175,揚32.75
送裴二虯作尉永嘉 // 0481 0377,中7.2396,中PDF7.175,揚32.75
城西陂泛舟 // 0434 0378,中7.2396,中PDF7.175,揚32.75
贈田九判官 // 0557 0379,中7.2396,中PDF7.175,揚32.75
贈獻納使起居田舍人 // 0536 0380,中7.2396,中PDF7.175,揚32.75
送韋書記赴安西 // 0326 0381,中7.2396,中PDF7.175,揚32.76
陪鄭廣文遊何將軍山林十首 // 0356-1 0382-1,中7.2397,中PDF7.176,揚32.76
陪鄭廣文遊何將軍山林十首 // 0356-2 0382-2,中7.2397,中PDF7.176,揚32.76
陪鄭廣文遊何將軍山林十首 // 0356-3 0382-3,中7.2397,中PDF7.176,揚32.76
陪鄭廣文遊何將軍山林十首 // 0356-4 0382-4,中7.2397,中PDF7.176,揚32.76
陪鄭廣文遊何將軍山林十首 // 0356-5 0382-5,中7.2397,中PDF7.176,揚32.76
陪鄭廣文遊何將軍山林十首 // 0356-6 0382-6,中7.2397,中PDF7.176,揚32.76
陪鄭廣文遊何將軍山林十首 // 0356-7 0382-7,中7.2397,中PDF7.176,揚32.76
陪鄭廣文遊何將軍山林十首 // 0356-8 0382-8,中7.2397,中PDF7.176,揚32.76
陪鄭廣文遊何將軍山林十首 // 0356-9 0382-9,中7.2397,中PDF7.176,揚32.76
陪鄭廣文遊何將軍山林十首 // 0356-10 0382-10,中7.2397,中PDF7.176,揚32.76
重過何氏五首 // 0419-1 0383-1,中7.2398,中PDF7.177,揚32.77
重過何氏五首 // 0419-2 0383-2,中7.2398,中PDF7.177,揚32.77
重過何氏五首 // 0419-3 0383-3,中7.2398,中PDF7.177,揚32.77
重過何氏五首 // 0419-4 0383-4,中7.2398,中PDF7.177,揚32.77
重過何氏五首 // 0419-5 0383-5,中7.2398,中PDF7.177,揚32.77
冬日有懷李白 // 0103 0384,中7.2399,中PDF7.178,揚32.77
杜位宅守歲 // 0266 0385,中7.2399,中PDF7.178,揚32.78
與鄠縣源大少府宴渼陂 // 0452 0386,中7.2399,中PDF7.178,揚32.78
崔駙馬山亭宴集 // 0499 0387,中7.2399,中PDF7.178,揚32.78
九日楊奉先會白水崔明府 // 0627 0388,中7.2399,中PDF7.178,揚32.78
贈翰林張四學士 // 0204 0389,中7.2400,中PDF7.179,揚32.78
送張二十參軍赴蜀州因呈楊五侍御 // 0403 0390,中7.2400,中PDF7.179,揚32.79
陪諸貴公子丈八溝攜妓納涼晚際遇雨二首 // 0438-1 0391-1,中7.2400,中PDF7.179,揚32.79
陪諸貴公子丈八溝攜妓納涼晚際遇雨二首 // 0438-2 0391-2,中7.2400,中PDF7.179,揚32.79
白水明府舅宅喜雨 // 0631 0392,中7.2400,中PDF7.179,揚32.79
陪李金吾花下飲 // 0605 0393,中7.2401,中PDF7.180,揚32.79
贈高式顏 // 4209 0394,中7.2401,中PDF7.180,揚32.79
贈比部蕭郞中十兄 // 0148 0395,中7.2401,中PDF7.180,揚32.79
九日曲江 // 0396 0396,中7.2401,中PDF7.180,揚32.80
承沈八丈東美除膳部員外阻雨未遂馳賀奉寄此詩 // 0494 0397,中7.2401,中PDF7.180,揚32.80
奉留贈集賢院崔于二學士 // 0288 0398,中7.2402,中PDF7.181,揚32.80
故武衞將軍輓歌三首 // 0152-1 0399-1,中7.2402,中PDF7.181,揚32.81
故武衞將軍輓歌三首 // 0152-2 0399-2,中7.2402,中PDF7.181,揚32.81
故武衞將軍輓歌三首 // 0152-3 0399-3,中7.2402,中PDF7.181,揚32.81
官定後戲贈 // 0633 0400,中7.2402,中PDF7.181,揚32.81
九日藍田崔氏莊 // 1173 0401,中7.2403,中PDF7.182,揚32.81
崔氏東山草堂 // 1183 0402,中7.2403,中PDF7.182,揚32.81
對雪 // 0748 0403,中7.2403,中PDF7.182,揚32.81
月夜 // 0733 0404,中7.2403,中PDF7.182,揚32.82
遣興 // 0794 0405,中7.2403,中PDF7.182,揚32.82
元日 // 0752 0406,中7.2404,中PDF7.183,揚32.82
春望 // 0779 0407,中7.2404,中PDF7.183,揚32.82
憶幼子 // 0786 0408,中7.2404,中PDF7.183,揚32.82
一百五日夜對月 // 0789 0409,中7.2404,中PDF7.183,揚32.82
喜達行在所三首 // 0824-1 0410-1,中7.2405,中PDF7.184,揚33.3
喜達行在所三首 // 0824-2 0410-2,中7.2405,中PDF7.184,揚33.3
喜達行在所三首 // 0824-3 0410-3,中7.2405,中PDF7.184,揚33.3
得家書 // 0868 0411,中7.2405,中PDF7.184,揚33.3
奉贈嚴八閣老 // 0899 0412,中7.2405,中PDF7.184,揚33.3
奉送郭中丞兼太僕卿充隴右節度使三十韻 // 0875 0413,中7.2406,中PDF7.185,揚33.4
送楊六判官使西蕃 // 0890 0414,中7.2406,中PDF7.185,揚33.4
月 // 0871 0415,中7.2407,中PDF7.186,揚33.5
留別賈嚴二閣老兩院補闕 // 0902 0416,中7.2407,中PDF7.186,揚33.5
晚行口號 // 0917 0417,中7.2407,中PDF7.186,揚33.5
獨酌成詩 // 0922 0418,中7.2407,中PDF7.186,揚33.6
行次昭陵 // 0184 0419,中7.2407,中PDF7.186,揚33.6
重經昭陵 // 0199 0420,中7.2407,中PDF7.187,揚33.6
喜聞官軍已臨賊境二十韻 // 0972 0421,中7.2408,中PDF7.187,揚33.6
收京三首 // 0979-1 0422-1,中7.2409,中PDF7.188,揚33.7
收京三首 // 0979-2 0422-2,中7.2409,中PDF7.188,揚33.7
收京三首 // 0979-3 0422-3,中7.2409,中PDF7.188,揚33.7
臘日 // 0994 0423,中7.2409,中PDF7.188,揚33.7
紫宸殿退朝口號 // 1017 0424,中7.2409,中PDF7.188,揚33.8
曲江二首 // 1045-1 0425-1,中7.2409,中PDF7.188,揚33.8
曲江二首 // 1045-2 0425-2,中7.2409,中PDF7.188,揚33.8
曲江對酒 // 1052 0426,中7.2410,中PDF7.189,揚33.8
曲江對雨 // 1058 0427,中7.2410,中PDF7.189,揚33.8
奉和賈至舍人早朝大明宮 // 0998 0428,中7.2410,中PDF7.189,揚33.8
宣政殿退朝晚出左掖 // 1013 0429,中7.2410,中PDF7.189,揚33.8
題省中院壁 // 1028 0430,中7.2411,中PDF7.190,揚33.9
春宿左省 // 1021 0431,中7.2411,中PDF7.190,揚33.9
送翰林張司馬南海勒碑 // 1037 0432,中7.2411,中PDF7.190,揚33.9
晚出左掖 // 1025 0433,中7.2411,中PDF7.190,揚33.9
曲江陪鄭八丈南史飲 // 1040 0434,中7.2411,中PDF7.190,揚33.9
送賈閣老出汝州 // 1034 0435,中7.2412,中PDF7.191,揚33.10
鄭駙馬池臺喜遇鄭廣文同飲 // 0819 0436,中7.2412,中PDF7.191,揚33.10
送鄭十八虔貶台州司戶傷其臨老陷賊之故闕爲面別情見於詩 // 0989 0437,中7.2412,中PDF7.191,揚33.10
題鄭十八著作虔 // 1105 0438,中7.2412,中PDF7.191,揚33.10
端午日賜衣 // 1122 0439,中7.2412,中PDF7.191,揚33.11
贈畢四 // 1102 0440,中7.2412,中PDF7.191,揚33.11
酬孟雲卿 // 1126 0441,中7.2413,中PDF7.192,揚33.11
奉贈王中允 // 1009 0442,中7.2413,中PDF7.192,揚33.11
奉陪鄭駙馬韋曲二首 // 1064-1 0443-1,中7.2413,中PDF7.192,揚33.11
奉陪鄭駙馬韋曲二首 // 1064-2 0443-2,中7.2413,中PDF7.192,揚33.11
奉答岑參補闕見贈 // 1006 0444,中7.2413,中PDF7.193,揚33.11
送許八拾遺歸江寧覲省甫昔時嘗客遊此縣於許生處乞瓦棺寺維摩圖樣志諸篇末 // 1069 0445,中7.2414,中PDF7.193,揚33.12
因許八奉寄江寧旻上人 // 1075 0446,中7.2414,中PDF7.193,揚33.12
至德二載甫自京金光門出問道歸鳳翔乾元初從左拾遺移華州掾與親故別因出此門有悲往事 // 1129 0447,中7.2414,中PDF7.193,揚33.12
寄高三十五詹事 // 1135 0448,中7.2414,中PDF7.193,揚33.12
路逢襄陽楊少府入城戲呈楊員外綰 // 1212 0449,中7.2415,中PDF7.194,揚33.13
題鄭縣亭子 // 1139 0450,中7.2415,中PDF7.194,揚33.13
早秋苦熱堆案相仍 // 1151 0451,中7.2415,中PDF7.194,揚33.13
望岳 // 1144 0452,中7.2415,中PDF7.194,揚33.13
至日遣興奉寄北省舊閣老兩院故人二首 // 1204-1 0453-1,中7.2416,中PDF7.195,揚33.13
至日遣興奉寄北省舊閣老兩院故人二首 // 1204-2 0453-2,中7.2416,中PDF7.195,揚33.13
得舍弟消息二首 // 0783-1 0454-1,中7.2416,中PDF7.195,揚33.14
得舍弟消息二首 // 0783-2 0454-2,中7.2416,中PDF7.195,揚33.14
憶弟二首 // 1233-1 0455-1,中7.2416,中PDF7.195,揚33.14
憶弟二首 // 1233-2 0455-2,中7.2416,中PDF7.195,揚33.14
得舍弟消息 // 1238 0456,中7.2416,中PDF7.195,揚33.14
秦州雜詩二十首 // 1405-1 0457-1,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-2 0457-2,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-3 0457-3,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-4 0457-4,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-5 0457-5,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-6 0457-6,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-7 0457-7,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-8 0457-8,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-9 0457-9,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-10 0457-10,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-11 0457-11,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-12 0457-12,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-13 0457-13,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-14 0457-14,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-15 0457-15,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-16 0457-16,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-17 0457-17,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-18 0457-18,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-19 0457-19,中7.2417,中PDF7.196,揚33.14
秦州雜詩二十首 // 1405-20 0457-20,中7.2417,中PDF7.196,揚33.14
月夜憶舍弟 // 1471 0458,中7.2419,中PDF7.198,揚33.17
宿贊公房 // 1484 0459,中7.2419,中PDF7.198,揚33.17
東樓 // 1508 0460,中7.2420,中PDF7.199,揚33.17
雨晴 // 1511 0461,中7.2420,中PDF7.199,揚33.17
寓目 // 1514 0462,中7.2420,中PDF7.199,揚33.17
山寺 // 1517 0463,中7.2420,中PDF7.199,揚33.17
卽事 // 1521 0464,中7.2420,中PDF7.199,揚33.18
遣懷 // 1524 0465,中7.2420,中PDF7.199,揚33.18
天河 // 1527 0466,中7.2421,中PDF7.200,揚33.18
初月 // 1532 0467,中7.2421,中PDF7.200,揚33.18
歸燕 // 1540 0468,中7.2421,中PDF7.200,揚33.18
擣衣 // 1536 0469,中7.2421,中PDF7.200,揚33.18
促織 // 1543 0470,中7.2421,中PDF7.200,揚33.19
螢火 // 1546 0471,中7.2422,中PDF7.201,揚33.19
蒹葭 // 1551 0472,中7.2422,中PDF7.201,揚33.19
苦竹 // 1555 0473,中7.2422,中PDF7.201,揚33.19
除架 // 1559 0474,中7.2422,中PDF7.201,揚33.19
廢畦 // 1563 0475,中7.2422,中PDF7.201,揚33.19
夕烽 // 1565 0476,中7.2423,中PDF7.202,揚33.19
秋笛 // 1568 0477,中7.2423,中PDF7.202,揚33.20
送遠 // 1590 0478,中7.2423,中PDF7.202,揚33.20
觀兵 // 1243 0479,中7.2423,中PDF7.202,揚33.20
不歸 // 1245 0480,中7.2423,中PDF7.202,揚33.20
天末懷李白 // 1475 0481,中7.2424,中PDF7.203,揚33.20
獨立 // 1248 0482,中7.2424,中PDF7.203,揚33.20
日暮 // 1584 0483,中7.2424,中PDF7.203,揚33.21
空囊 // 1571 0484,中7.2424,中PDF7.203,揚33.21
病馬 // 1575 0485,中7.2424,中PDF7.203,揚33.21
蕃劍 // 1577 0486,中7.2424,中PDF7.203,揚33.21
銅甁 // 1580 0487,中7.2425,中PDF7.204,揚33.21
觀安西兵過赴關中待命二首 // 1156-1 0488-1,中7.2425,中PDF7.204,揚33.21
觀安西兵過赴關中待命二首 // 1156-2 0488-2,中7.2425,中PDF7.204,揚33.21
送人從軍 // 1594 0489,中7.2425,中PDF7.204,揚33.22
野望 // 1586 0490,中7.2425,中PDF7.204,揚33.22
示姪佐 // 1597 0491,中7.2426,中PDF7.205,揚33.22
佐還山後寄三首 // 1600-1 0492-1,中7.2426,中PDF7.205,揚33.22
佐還山後寄三首 // 1600-2 0492-2,中7.2426,中PDF7.205,揚33.22
佐還山後寄三首 // 1600-3 0492-3,中7.2426,中PDF7.205,揚33.22
從人覓小胡孫許寄 // 1607 0493,中7.2426,中PDF7.205,揚33.22
秋日阮隱居致薤三十束 // 1614 0494,中7.2426,中PDF7.205,揚33.23
秦州見敕目薛三璩授司議郞畢四曜除監察與二子有故遠喜遷官兼述索居凡三十韻 // 1616 0495,中7.2427,中PDF7.206,揚33.23
寄彭州高三十五使君適虢州岑二十七長史參三十韻 // 1629 0496,中7.2427,中PDF7.206,揚33.24
寄岳州賈司馬六丈巴州嚴八使君兩閣老五十韻 // 1642 0497,中7.2428,中PDF7.207,揚33.24
寄張十二山人彪三十韻 // 1666 0498,中7.2429,中PDF7.208,揚33.26
寄李十二白二十韻 // 1681 0499,中7.2430,中PDF7.209,揚33.26
蜀相 // 1930 0500,中7.2431,中PDF7.210,揚33.27
卜居 // 1907 0501,中7.2431,中PDF7.210,揚33.27
一室 // 2300 0502,中7.2431,中PDF7.210,揚33.27
梅雨 // 1940 0503,中7.2431,中PDF7.210,揚33.28
爲農 // 1944 0504,中7.2432,中PDF7.211,揚33.28
有客 // 1947 0505,中7.2432,中PDF7.211,揚33.28
狂夫 // 1955 0506,中7.2432,中PDF7.211,揚33.28
賓至 // 1953 0507,中7.2432,中PDF7.211,揚33.28
王十五司馬弟出郭相訪兼遺營茅屋貲 // 1912 0508,中7.2432,中PDF7.211,揚33.29
堂成 // 1926 0509,中7.2432,中PDF7.211,揚33.29
田舍 // 1962 0510,中7.2433,中PDF7.212,揚33.29
進艇 // 2294 0511,中7.2433,中PDF7.212,揚33.29
西郊 // 2093 0512,中7.2433,中PDF7.212,揚33.29
所思 // 2306 0513,中7.2433,中PDF7.212,揚33.29
江村 // 1965 0514,中7.2433,中PDF7.212,揚33.30
江漲 // 1970 0515,中7.2434,中PDF7.213,揚33.30
野老 // 1972 0516,中7.2434,中PDF7.213,揚33.30
雲山 // 1977 0517,中7.2434,中PDF7.213,揚33.30
遣興 // 1980 0518,中7.2434,中PDF7.213,揚33.30
北鄰 // 2013 0519,中7.2434,中PDF7.213,揚33.30
南鄰 // 2016 0520,中7.2435,中PDF7.214,揚33.31
出郭 // 2036 0521,中7.2435,中PDF7.214,揚33.31
過南鄰朱山人水亭 // 3160 0522,中7.2435,中PDF7.214,揚33.31
恨別 // 2040 0523,中7.2435,中PDF7.214,揚33.31
寄賀蘭銛 // 3333 0524,中7.2435,中PDF7.214,揚33.31
寄楊五桂州譚 // 2076 0525,中7.2435,中PDF7.214,揚33.31
逢唐興劉主簿弟 // 2395 0526,中7.2436,中PDF7.215,揚33.32
和裴迪登新津寺寄王侍郞 // 2027 0527,中7.2436,中PDF7.215,揚33.32
敬簡王明府 // 2398 0528,中7.2436,中PDF7.215,揚33.32
重簡王明府 // 2402 0529,中7.2436,中PDF7.215,揚33.32
建都十二韻 // 2061 0530,中7.2436,中PDF7.215,揚33.32
歲暮 // 3016 0531,中7.2437,中PDF7.216,揚33.33
和裴迪登蜀州東亭送客逢早梅相憶見寄 // 2080 0532,中7.2437,中PDF7.216,揚33.33
寄贈王十將軍承俊 // 3386 0533,中7.2437,中PDF7.216,揚33.33
暮登四安寺鐘樓寄裴十 // 2110 0534,中7.2437,中PDF7.216,揚33.33
散愁二首 // 2047-1 0535-1,中7.2438,中PDF7.217,揚33.33
散愁二首 // 2047-2 0535-2,中7.2438,中PDF7.217,揚33.33
奉酬李都督表丈早春作 // 2100 0536,中7.2438,中PDF7.217,揚33.33
客至 // 2131 0537,中7.2438,中PDF7.217,揚33.34
遣意二首 // 2139-1 0538-1,中7.2438,中PDF7.217,揚33.34
遣意二首 // 2139-2 0538-2,中7.2438,中PDF7.217,揚33.34
漫成二首 // 2148-1 0539-1,中7.2439,中PDF7.218,揚33.34
漫成二首 // 2148-2 0539-2,中7.2439,中PDF7.218,揚33.34
春夜喜雨 // 2125 0540,中7.2439,中PDF7.218,揚33.34
春水 // 2183 0541,中7.2439,中PDF7.218,揚33.34
春水生二絕 // 2161-1 0542-1,中7.2439,中PDF7.218,揚33.35
春水生二絕 // 2161-2 0542-2,中7.2439,中PDF7.218,揚33.35
江亭 // 2186 0543,中7.2439,中PDF7.218,揚33.35
村夜 // 2073 0544,中7.2440,中PDF7.219,揚33.35
早起 // 2193 0545,中7.2440,中PDF7.219,揚33.35
可惜 // 2207 0546,中7.2440,中PDF7.219,揚33.35
落日 // 2198 0547,中7.2440,中PDF7.219,揚33.35
獨酌 // 2202 0548,中7.2440,中PDF7.219,揚33.36
徐步 // 2211 0549,中7.2441,中PDF7.220,揚33.36
寒食 // 2215 0550,中7.2441,中PDF7.220,揚33.36
高柟 // 2286 0551,中7.2441,中PDF7.220,揚33.36
惡樹 // 2289 0552,中7.2441,中PDF7.220,揚33.36
石鏡 // 2266 0553,中7.2441,中PDF7.220,揚33.37
琴臺 // 2270 0554,中7.2442,中PDF7.221,揚33.37
聞斛斯六官未歸 // 2311 0555,中7.2442,中PDF7.221,揚33.37
遊修覺寺 // 2115 0556,中7.2442,中PDF7.221,揚33.37
後遊 // 2119 0557,中7.2442,中PDF7.221,揚33.37
題新津北橋樓 // 2106 0558,中7.2442,中PDF7.221,揚33.37
江漲 // 2263 0559,中7.2443,中PDF7.222,揚33.37
晚晴 // 2281 0560,中7.2443,中PDF7.222,揚33.38
朝雨 // 2277 0561,中7.2443,中PDF7.222,揚33.38
江上值水如海勢聊短述 // 2165 0562,中7.2443,中PDF7.222,揚33.38
送裴五赴東川 // 2318 0563,中7.2443,中PDF7.222,揚33.38
赴青城縣出成都寄陶王二少尹 // 2383 0564,中7.2444,中PDF7.223,揚33.38
因崔五侍御寄高彭州 // 2023 0565,中7.2444,中PDF7.223,揚33.38
野望因過常少仙 // 2389 0566,中7.2444,中PDF7.223,揚33.38
寄杜位 // 2405 0567,中7.2444,中PDF7.223,揚33.39
奉簡高三十五使君 // 2025 0568,中7.2444,中PDF7.223,揚33.39
送韓十四江東覲省 // 2410 0569,中7.2444,中PDF7.223,揚33.39
酬高使君相贈 // 1903 0570,中7.2445,中PDF7.224,揚33.39
草堂即事 // 2424 0571,中7.2445,中PDF7.224,揚33.39
魏十四侍御就弊廬相別 // 2484 0572,中7.2445,中PDF7.224,揚33.39
徐九少尹見過 // 2429 0573,中7.2445,中PDF7.224,揚33.40
范二員外邈吳十侍御郁特枉駕闕展待聊寄此 // 2432 0574,中7.2445,中PDF7.224,揚33.40
王十七侍御掄許攜酒至草堂奉寄此詩便請邀高三十五使君同到 // 2435 0575,中7.2446,中PDF7.225,揚33.40
王竟攜酒高亦同過共用寒字 // 2442 0576,中7.2446,中PDF7.225,揚33.40
陪李七司馬皂江上觀造竹橋即日成往來之人免冬寒入水聊題短作簡李公二首 // 2445-1 0577-1,中7.2446,中PDF7.225,揚33.40
陪李七司馬皂江上觀造竹橋即日成往來之人免冬寒入水聊題短作簡李公二首 // 2445-2 0577-2,中7.2446,中PDF7.225,揚33.40
李司馬橋了承高使君自成都回 // 2453 0578,中7.2446,中PDF7.225,揚33.41
少年行二首 // 2256-1 0579-1,中7.2446,中PDF7.225,揚33.41
少年行二首 // 2256-2 0579-2,中7.2446,中PDF7.225,揚33.41
野人送朱櫻 // 2576 0580,中7.2447,中PDF7.226,揚33.41
即事 // 2541 0581,中7.2447,中PDF7.226,揚33.41
贈花卿 // 2335 0582,中7.2447,中PDF7.226,揚33.41
少年行 // 2537 0583,中7.2447,中PDF7.226,揚33.42
觀李固請司馬弟山水圖三首 // 3322-1 0584-1,中7.2447,中PDF7.226,揚33.42
觀李固請司馬弟山水圖三首 // 3322-2 0584-2,中7.2447,中PDF7.226,揚33.42
觀李固請司馬弟山水圖三首 // 3322-3 0584-3,中7.2447,中PDF7.226,揚33.42
題桃樹 // 3148 0585,中7.2448,中PDF7.227,揚33.42
蕭八明府堤處覓桃栽 // 1915 0586,中7.2448,中PDF7.227,揚33.42
從韋二明府續處覓綿竹 // 1917 0587,中7.2448,中PDF7.227,揚33.42
憑何十一少府邕覓榿木栽 // 1919 0588,中7.2448,中PDF7.227,揚33.42
憑韋少府班覓松樹子 // 1921 0589,中7.2448,中PDF7.227,揚33.43
又于韋處乞大邑瓷盌 // 1923 0590,中7.2448,中PDF7.227,揚33.43
詣徐卿覓果栽 // 1924 0591,中7.2448,中PDF7.227,揚33.43
