杜工部詩集卷之一
開元天寶間公居東都遊齊趙及歸京師作
遊龍門奉先寺 // 0042 PDF75,哈PDF50
舟前小鵞兒 // 2837 PDF460,哈PDF454
官池春鴈二首 // 2840 PDF461,哈PDF454
投簡梓州幕府兼簡韋十郎官 // 2843 PDF461,哈PDF454
贈韋贊善别 // 2850 PDF461,哈PDF455
喜雨 // 2846 PDF462,哈PDF455
短歌行送祁錄事歸合州因寄蘇使君 // 2852 PDF462,哈PDF455
寄題江外草堂 // 2856 PDF43,哈PDF456
陪章畱後惠義寺餞嘉州崔都督赴州 // 2875 PDF463,哈PDF456
陪章畱後侍御宴南樓得風字 // 2879 PDF464,哈PDF457
臺上得凉字 // 2884 PDF465,哈PDF458
送王十五判官扶侍還黔中得開字 // 2870 PDF465,哈PDF458
章梓州橘亭餞成都竇少尹得凉字 // 2890 PDF466,哈PDF459
章梓州水亭 // 2893 PDF466,哈PDF459
戲作寄上漢中王二首 // 2899 PDF466,哈PDF459
㯶拂子 // 2886 PDF467,哈PDF460
韋諷錄事宅觀曹將軍畫馬圖 // 3207 PDF468,哈PDF461
送韋諷上閬州錄事參軍 // 3214 PDF470,哈PDF463
丹青引贈曹將軍霸 // 3200 PDF470,哈PDF463
送陵州路使君之任 // 2905 PDF472,哈PDF465
送元二適江左 // 2909 PDF472,哈PDF466
九日 // 2915 PDF472,哈PDF466
倦夜 // 2920 PDF473,哈PDF467
薄暮 // 2923 PDF473,哈PDF467
王閬州筵奉酬十一舅惜别之作 // 2932 PDF474,哈PDF467
閬州東樓筵奉送十一舅往青城縣得昏字 // 2935 PDF474,哈PDF467
放船 // 2939 PDF475,哈PDF468
薄遊 // 2942 PDF475,哈PDF468
南池 // 2925 PDF475,哈PDF468
嚴氏溪放歌行 // 2945 PDF476,哈PDF469
發閬中 // 2986 PDF477,哈PDF470
冬狩行 // 2988 PDF477,哈PDF470
山寺 // 2994 PDF479,哈PDF472
桃竹杖引贈章畱後 // 3000 PDF480,哈PDF473
將適吳楚畱别章使君畱後兼幕府諸公得柳字 // 3005 PDF481,哈PDF474
對雨 // 2955 PDF482,哈PDF475
警急 // 2960 PDF482,哈PDF475
王命 // 2963 PDF483,哈PDF476
征夫 // 2967 PDF483,哈PDF476
西山三首 // 2969 PDF484,哈PDF476
舍弟占歸草堂撿挍聊示此詩 // 3011 PDF485,哈PDF477
有感五首 // 3059 PDF485,哈PDF478
江陵望幸 // 2982 PDF488,哈PDF481
城上 // 3028 PDF489,哈PDF481
傷春五首 // 3036 PDF489,哈PDF482

杜工部詩集卷之十一
廣德中公往來梓閬歸成都草堂嚴武表授節度參謀作
送李卿瞱 // 3025 PDF492,哈PDF486
釋悶 // 3056 PDF493,哈PDF487
贈别賀蘭銛 // 3088 PDF493,哈PDF48
寄賀蘭銛 // 3333 PDF494,哈PDF488
絕句 // 2539 PDF494,哈PDF488
閬山歌 // 3074 PDF494,哈PDF488
閬水歌 // 3077 PDF495,哈PDF489
江亭王閬州筵餞蕭遂州 // 3083 PDF495,哈PDF489
陪王使君晦日泛江就黃家亭子二首 // 3079 PDF496,哈PDF490
泛江 // 3092 PDF496,哈PDF490
渡江 // 3093 PDF497,哈PDF490
南征 // 5684 PDF497,哈PDF491
地隅 // 5591 PDF497,哈PDF491
歸夢 // 5685 PDF498,哈PDF491
久客 // 5589 PDF498,哈PDF491
暮寒 // 3095 PDF498,哈PDF492
遊子 // 3097 PDF498,哈PDF492
滕王亭子二首 // 3099 PDF499,哈PDF492
玉臺觀二首 // 3104 PDF499,哈PDF493
送韋郎司直歸成都 // 2854 PDF501,哈PDF494
雙燕 // 3030 PDF501,哈PDF494
百舌 // 3033 PDF501,哈PDF495
奉寄章十侍御 // 3110 PDF502,哈PDF495
將赴荆南寄别李劔州 // 5418 PDF503,哈PDF496
奉寄别馬巴州 // 3021 PDF503,哈PDF496
奉待嚴大夫 // 3114 PDF504,哈PDF497
自閬州領妻子却赴蜀山行三首 // 3117 PDF504,哈PDF497
别房太尉墓 // 3122 PDF505,哈PDF498
將赴成都草堂途中有作先寄嚴鄭公五首 // 3124 PDF506,哈PDF499
春歸 // 3135 PDF508,哈PDF501
歸來 // 3138 PDF508,哈PDF501
草堂 // 3141 PDF508,哈PDF501
四松 // 3151 PDF510,哈PDF504
水檻 // 3155 PDF511,哈PDF504
破船 // 3158 PDF511,哈PDF505
過南鄰朱山人水亭 // 3160 PDF512,哈PDF505
登樓 // 3162 PDF512,哈PDF505
奉寄高常侍 // 3168 PDF513,哈PDF506
寄邛州崔錄事 // 3172 PDF513,哈PDF506
王錄事許修草堂貲不到聊小詰 // 3174 PDF513,哈PDF507
歸雁 // 3175 PDF514,哈PDF507
絕句二首 // 3177 PDF514,哈PDF507
寄司馬山人十二韻 // 3179 PDF514,哈PDF507
贈王二十四侍御𢍆四十韻 // 3183 PDF515,哈PDF508
過故斛斯挍書莊二首 // 3245 PDF518,哈PDF510
黃河二首 // 3197 PDF518,哈PDF511
揚旗 // 3229 PDF519,哈PDF512
太子張舍人遺織成褥段 // 3249 PDF519,哈PDF512
憶昔二首 // 3236 PDF521,哈PDF514
别唐十五誡因寄禮部賈侍郎 // 3304 PDF522,哈PDF515
寄董卿嘉榮十韻 // 3258 PDF523,哈PDF516
立秋雨院中有作 // 3256 PDF524,哈PDF517
奉和嚴鄭公軍城早秋 // 3263 PDF524,哈PDF517
院中晚晴懷西郭茅舍 // 3266 PDF525,哈PDF518
到村 // 3268 PDF526,哈PDF519
村雨 // 3271 PDF526,哈PDF519
宿府 // 3273 PDF526,哈PDF519
遣悶奉呈嚴鄭公二十韻 // 3276 PDF527,哈PDF519
送舍弟潁赴齊州三首 // 3299 PDF528,哈PDF520
嚴鄭公階下新松得霑字 // 3283 PDF529,哈PDF521
嚴鄭公宅同詠竹得香字 // 3285 PDF529,哈PDF521
晚秋陪嚴鄭公摩訶池泛舟得溪字 // 3287 PDF529,哈PDF521
奉觀嚴鄭公㕔事岷山沱江畫圖十韻得忘字 // 3293 PDF529,哈PDF522
初冬 // 3319 PDF530,哈PDF522
觀李固請司馬弟山水圖三首 // 3322 PDF530,哈PDF523
至後 // 3328 PDF531,哈PDF523
懷舊 // 3310 PDF531,哈PDF524

杜工部詩集卷之十二
永泰中居成都草堂去蜀至雲安居夔州作
正月三日歸溪上有作簡院內諸公 // 3337 PDF532,哈PDF530
敝廬遣興奉寄嚴公 // 3339 PDF532,哈PDF530
營屋 // 3365 PDF532,哈PDF531
除草 // 3342 PDF533,哈PDF531
春日江村五首 // 3346 PDF534,哈PDF532
春遠 // 3358 PDF535,哈PDF533
絕句六首 // 3218 PDF535,哈PDF533
絕句四首 // 3224 PDF536,哈PDF534
喜雨 // 3368 PDF537,哈PDF535
天邊行 // 3018 PDF537,哈PDF535
莫相疑行 // 3373 PDF538,哈PDF535
赤霄行 // 3377 PDF538,哈PDF536
三韻三篇 // 3381 PDF539,哈PDF537
宿青溪驛奉懷張員外十五兄之緒 // 3393 PDF540,哈PDF537
宴戎州楊使君東樓 // 3401 PDF540,哈PDF538
渝州候嚴六侍御不到先下峽 // 3405 PDF541,哈PDF538
撥悶 // 3408 PDF541,哈PDF539
聞高常侍亡 // 3425 PDF542,哈PDF539
宴忠州使君姪宅 // 3412 PDF542,哈PDF539
禹廟 // 3415 PDF543,哈PDF540
題忠州龍興寺所居院壁 // 3419 PDF543,哈PDF540
哭嚴僕射歸櫬 // 3422 PDF543,哈PDF541
旅夜書懷 // 3428 PDF544,哈PDF541
雲安九日鄭十八攜酒陪諸公宴 // 3436 PDF544,哈PDF541
答鄭十七郎一絕 // 3438 PDF545,哈PDF542
别常徵君 // 3440 PDF545,哈PDF542
長江二首 // 3442 PDF545,哈PDF542
承聞故房相公靈櫬自閬州啓殯歸葬東都有作二首 // 3447 PDF546,哈PDF543
將曉二首 // 3454 PDF547,哈PDF544
懷錦水居止二首 // 3459 PDF548,哈PDF544
青絲 // 3463 PDF548,哈PDF545
三絕句 // 3466 PDF549,哈PDF545
遣憤 // 3470 PDF550,哈PDF547
十二月一日三首 // 3473 PDF551,哈PDF547
又雪 // 3480 PDF552,哈PDF549
雨 // 3483 PDF552,哈PDF549
南楚 // 3485 PDF553,哈PDF549
老病 // 4379 PDF553,哈PDF549
水閣朝霽奉簡嚴雲安嚴明府 // 3488 PDF554,哈PDF550
杜鵑 // 3491 PDF554,哈PDF550
子規 // 3498 PDF555,哈PDF551
近聞 // 3502 PDF555,哈PDF551
客居 // 3504 PDF556,哈PDF552
客堂 // 3537 PDF557,哈PDF553
石硯 // 0338 PDF558,哈PDF554
贈鄭十八賁 // 3511 PDF559,哈PDF555
别蔡十四著作 // 3516 PDF560,哈PDF556
寄常徵君 // 3521 PDF561,哈PDF557
寄岑嘉州 // 3525 PDF561,哈PDF558
移居夔州作 // 3529 PDF562,哈PDF558
船下夔州郭宿雨濕不得上岸别王,哈PDF559十二判官 // 3531 PDF562,哈PDF558
漫成一絕 // 3535 PDF563
引水 // 3544 PDF563,哈PDF559
寄韋有夏郎中 // 3550 PDF563,哈PDF559
上白帝城 // 3553 PDF564,哈PDF560
上白帝城二首 // 3556 PDF565,哈PDF560
陪諸公上白帝城頭宴越公堂之作 // 3561 PDF565,哈PDF561
白帝城最高樓 // 3564 PDF566,哈PDF561
武侯廟 // 3569 PDF566,哈PDF562
八陣圖 // 3572 PDF567,哈PDF562
謁先主廟 // 4145 PDF567,哈PDF563
諸葛廟 // 4708 PDF568,哈PDF563
古柏行 // 3575 PDF569,哈PDF563
負薪行 // 3583 PDF570,哈PDF566
最能行 // 3587 PDF570,哈PDF566
同元使君舂陵行 // 4813 PDF571,哈PDF567

杜工部詩集卷之十三
大曆中公居夔州作
示獠奴阿段 // 3546 PDF575,哈PDF573
峽中覽物 // 3591 PDF575,哈PDF574
憶鄭南 // 3595 PDF576,哈PDF574
贈崔十三評事公輔 // 3598 PDF576,哈PDF574
奉寄李十五秘書文嶷二首 // 3607 PDF577,哈PDF575
貽華陽柳少府 // 3612 PDF578,哈PDF576
雷 // 3619 PDF579,哈PDF577
火 // 3643 PDF580,哈PDF578
熱三首 // 3626 PDF581,哈PDF579
七月三日亭午已後挍熱退晚加小凉穩睡有詩因論壯年樂事戲呈元二十一曹長 // 3633 PDF582,哈PDF580
牽牛織女 // 3649 PDF583,哈PDF581
毒熱寄簡崔評事十六弟 // 3658 PDF585,哈PDF583
殿中楊監見示張旭草書圖 // 3714 PDF585,哈PDF584
楊監又出畫鷹十二扇 // 3718 PDF586,哈PDF584
送殿中楊監赴蜀見相公 // 3721 PDF587,哈PDF585
贈李十五丈别 // 3726 PDF588,哈PDF586
種萵苣 // 3686 PDF589,哈PDF587
驅豎子摘蒼耳 // 3678 PDF590,哈PDF588
信行遠修水筒 // 3664 PDF591,哈PDF589
催宗文樹雞柵 // 3670 PDF591,哈PDF589
白鹽山 // 3734 PDF592,哈PDF591
灧澦堆 // 3737 PDF593,哈PDF591
灧澦 // 4620 PDF593,哈PDF591
白帝 // 3740 PDF594,哈PDF592
黃草 // 3743 PDF594,哈PDF592
夔州歌十絕句 // 3747 PDF595,哈PDF593
諸將五首 // 3763 PDF597,哈PDF595
秋興八首 // 3789 PDF602,哈PDF600
詠懷古跡五首 // 3841 PDF608,哈PDF605
雨不絕 // 3708 PDF610,哈PDF607
晚晴 // 3712 PDF611,哈PDF607
宿江邊閣 // 3867 PDF611,哈PDF608
夜宿西閣呈元二十一曹長 // 4248 PDF611,哈PDF608
西閣口號呈元二十一 // 4253 PDF612,哈PDF608
西閣雨望 // 3870 PDF612,哈PDF608
西閣三度期大昌嚴明府同宿不到 // 3881 PDF612,哈PDF609
西閣二首 // 3873 PDF613,哈PDF609
西閣夜 // 3879 PDF614,哈PDF610
夜 // 3785 PDF614,哈PDF610

杜工部詩集卷之十四
大曆中公居夔州作
覆舟二首 // 3885 PDF615,哈PDF612
奉漢中王手札 // 3890 PDF616,哈PDF613
奉漢中王手札報韋侍御蕭尊師亡 // 3896 PDF617,哈PDF614
存歿口號二首 // 3899 PDF617,哈PDF614
月圓 // 3904 PDF618,哈PDF615
中宵 // 3906 PDF618,哈PDF615
不寐 // 3910 PDF618,哈PDF616
遠遊 // 3912 PDF619,哈PDF616
遣愁 // 3935 PDF619,哈PDF616
秋清 // 5155 PDF619,哈PDF617
秋峽 // 5153 PDF620,哈PDF617
雨晴 // 3918 PDF620,哈PDF617
垂白 // 3915 PDF620,哈PDF617
搖落 // 3921 PDF621,哈PDF618
草閣 // 3924 PDF621,哈PDF618
江月 // 3927 PDF621,哈PDF618
江上 // 3930 PDF622,哈PDF618
中夜 // 3933 PDF622,哈PDF619
江漢 // 5575 PDF622,哈PDF619
吹笛 // 3943 PDF622,哈PDF619
南極 // 4231 PDF623,哈PDF620
秋日寄題鄭監湖上亭三首 // 3947 PDF623,哈PDF620
雨 // 3698 PDF625,哈PDF621
雨 // 3694 PDF625,哈PDF622
雨二首 // 3702 PDF626,哈PDF622
八哀詩 // 3955 PDF627,哈PDF623
覽栢中丞兼子姪數人除官制詞因述父子兄弟四美載歌絲綸 // 4291 PDF647,哈PDF645
覽鏡呈栢中丞 // 4299 PDF649,哈PDF647
陪栢中丞觀宴將士二首 // 4303 PDF649,哈PDF647

杜工部詩集卷之十五
大曆中公居夔州作
往在 // 4129 PDF651,哈PDF653
昔遊 // 5180 PDF653,哈PDF655
壯遊 // 4083 PDF654,哈PDF656
遣懷 // 4119 PDF657,哈PDF660
季潮八分小篆歌 // 4213 PDF658,哈PDF661
秋日夔府詠懷奉寄鄭監李賔客一百韻 // 4834 PDF661,哈PDF664
寄劉峽州伯華使君四十韻 // 4892 PDF669,哈PDF673
夔府書懷四十韻 // 4161 PDF672,哈PDF676
哭王彭州掄 // 4184 PDF675,哈PDF680
偶題 // 4194 PDF677,哈PDF682
瞿塘兩崖 // 4239 PDF678,哈PDF683
峽口二首 // 4224 PDF679,哈PDF683
天池 // 4915 PDF679,哈PDF684
閣夜 // 4256 PDF680,哈PDF684
瀼西寒望 // 4268 PDF680,哈PDF685
白帝樓 // 4272 PDF681,哈PDF685
白帝城樓 // 4275 PDF681,哈PDF685
曉望白帝城鹽山 // 4373 PDF681,哈PDF686
峽隘 // 5377 PDF682,哈PDF686
冬㴱 // 5646 PDF682,哈PDF686
西閣曝日 // 4278 PDF682,哈PDF686
不離西閣二首 // 4282 PDF683,哈PDF687
縛雞行 // 4350 PDF683,哈PDF687
折檻行 // 4355 PDF684,哈PDF687

杜工部詩集卷之十六
大曆中公居夔州作
立春 // 4361 PDF686,哈PDF691
王十五前閣會 // 4377 PDF686,哈PDF691
崔評事弟許相迎不到應慮老夫見泥雨怯出必愆佳期走筆戲簡 // 4382 PDF687,哈PDF692
愁 // 4387 PDF687,哈PDF692
晝夢 // 4393 PDF687,哈PDF692
入宅三首 // 4420 PDF688,哈PDF693
赤甲 // 4428 PDF689,哈PDF693
卜居 // 4442 PDF689,哈PDF694
暮春題瀼西新賃草屋五首 // 4446 PDF690,哈PDF694
暮春 // 4433 PDF691,哈PDF695
卽事 // 4438 PDF691,哈PDF696
江雨有懷鄭典設 // 4462 PDF691,哈PDF696
熟食日示宗文宗武 // 4466 PDF692,哈PDF696
又示兩兒 // 4470 PDF692,哈PDF697
得舍弟觀書自中都已達江陵今茲暮春月末行李合到夔州悲喜相兼團圓可待賦詩卽事情見乎詞 // 4474 PDF693,哈PDF697
喜觀卽到復題短篇二首 // 4477 PDF693,哈PDF697
返照 // 3940 PDF693,哈PDF698
晴二首 // 4404 PDF694,哈PDF698
雨 // 4410 PDF694,哈PDF698
月三首 // 4593 PDF694,哈PDF699
晨雨 // 4416 PDF695,哈PDF699
反照 // 5018 PDF695,哈PDF699
向夕 // 5230 PDF696,哈PDF700
懷灞上遊 // 4413 PDF696,哈PDF700
過客相尋 // 4533 PDF696,哈PDF700
豎子至 // 4536 PDF696,哈PDF700
園 // 4540 PDF697,哈PDF701
歸 // 4543 PDF697,哈PDF701
承聞河北諸道節度入朝歡喜口號絕句十二首 // 4507 PDF697,哈PDF701
晚登瀼上堂 // 4496 PDF700,哈PDF704
醉爲馬墜諸公攜酒相看 // 4501 PDF701,哈PDF704
園官送菜 // 4546 PDF701,哈PDF705
園人送瓜 // 4551 PDF702,哈PDF706
課伐木 // 4556 PDF703,哈PDF706
柴門 // 4566 PDF704,哈PDF708
槐葉冷淘 // 4573 PDF705,哈PDF709
上後園山脚 // 4578 PDF706,哈PDF710
奉送王信州崟北歸 // 4584 PDF707,哈PDF711
季夏送鄕弟韶陪黃門從叔朝謁 // 4614 PDF708,哈PDF712
送十五弟侍御使蜀 // 4604 PDF708,哈PDF712
七月一日題終明府水樓二首 // 4634 PDF709,哈PDF713
行官張望補稻畦水歸 // 4627 PDF709,哈PDF713
秋行官張望督促東渚耗稻向畢清晨遣女奴阿稽豎子阿段往問 // 4644 PDF710,哈PDF714
阻雨不得歸瀼西甘林 // 4653 PDF711,哈PDF715
又上後園山脚 // 4659 PDF712,哈PDF716
甘林 // 4667 PDF713,哈PDF717
暇日小園散病將種秋菜督勤耕牛兼書觸目 // 4673 PDF714,哈PDF718
雨 // 4679 PDF715,哈PDF719
聽楊氏歌 // 3863 PDF715,哈PDF719
秋風二首 // 4686 PDF716,哈PDF720
見螢火 // 4692 PDF716,哈PDF721
溪上 // 4698 PDF717,哈PDF721
樹間 // 4702 PDF717,哈PDF721
白露 // 4704 PDF717,哈PDF721
雨 // 3683 PDF718,哈PDF722
夜雨 // 4711 PDF718,哈PDF722
更題 // 4714 PDF718,哈PDF722
舍弟觀歸藍田迎新婦送示二首 // 4607 PDF719,哈PDF722
第五弟豐獨在江左近三四載寂無消息覓使寄此二首 // 4718 PDF719,哈PDF723
送李功曹之荆州充鄭侍御判官重贈 // 4180 PDF720,哈PDF723
送王十六判官 // 4235 PDF720,哈PDF724
送李八秘書赴杜相公幕 // 4743 PDF721,哈PDF724
贈李八秘書别三十韻 // 4725 PDF721,哈PDF725
别李秘書始興寺所居 // 4750 PDF724,哈PDF727
君不見簡蘇徯 // 4754 PDF724,哈PDF728
贈蘇四徯 // 4758 PDF725,哈PDF728
别蘇徯 // 4764 PDF725,哈PDF729
别崔潩因寄薛據孟雲卿 // 4769 PDF726,哈PDF729
巫峽弊廬奉贈侍御四舅别之澧朗 // 4773 PDF726,哈PDF729
孟氏 // 4776 PDF726,哈PDF730
吾宗 // 4781 PDF727,哈PDF730

杜工部詩集卷之十七
大曆中公居夔州作
寄薛三郎中據 // 4489 PDF728,哈PDF736
奉酬薛十二丈判官見贈 // 4786 PDF729,哈PDF737
寄狄明府博濟 // 4803 PDF730,哈PDF739
寄韓諫議注 // 4822 PDF731,哈PDF740
秋野五首 // 4921 PDF733,哈PDF742
課小豎鋤斫舍北果林枝蔓荒穢淨訖移牀三首 // 4934 PDF734,哈PDF743
解悶十二首 // 4940 PDF735,哈PDF744
復愁十二首 // 5063 PDF739,哈PDF747
洞房 // 4965 PDF742,哈PDF749
宿昔 // 4969 PDF742,哈PDF750
能畫 // 4972 PDF743,哈PDF750
鬬雞 // 4976 PDF743,哈PDF751
歷歷 // 4979 PDF744,哈PDF752
洛陽 // 4982 PDF745,哈PDF752
驪山 // 4985 PDF745,哈PDF752
提封 // 4988 PDF746,哈PDF753
鸚鵡 // 4995 PDF746,哈PDF753
孤雁 // 4997 PDF746,哈PDF754
鷗 // 5214 PDF747,哈PDF754
猿 // 5217 PDF747,哈PDF754
麂 // 5219 PDF747,哈PDF754
雞 // 5223 PDF748,哈PDF755
黃魚 // 5226 PDF748,哈PDF755
白小 // 5228 PDF749,哈PDF756
自瀼西荆扉且移居東屯茅屋四首 // 5021 PDF749,哈PDF756
社日兩篇 // 5001 PDF751,哈PDF757
八月十五夜月二首 // 5005 PDF751,哈PDF758
十六夜翫月 // 5010 PDF752,哈PDF758
十七夜對月 // 5013 PDF752,哈PDF758
曉望 // 5030 PDF753,哈PDF759
日暮 // 5015 PDF753,哈PDF759
暝 // 5032 PDF753,哈PDF759
晚 // 5035 PDF753,哈PDF759
夜 // 5138 PDF754,哈PDF760
九月一日過孟十二倉曹十四主簿兄弟 // 5045 PDF754,哈PDF760
孟倉曹步趾領新酒醬二物滿器見遺老夫 // 5047 PDF754,哈PDF760
送孟十二倉曹赴東京選 // 5050 PDF755,哈PDF760
憑孟倉曹將書覓土樓舊莊 // 5052 PDF755,哈PDF761
九日五首 // 5081 PDF755,哈PDF761
登高 // 5092 PDF757,哈PDF762
九日諸人集於林 // 3937 PDF757,哈PDF762
晚晴吳郎見過北舍 // 5061 PDF757,哈PDF763
簡吳郎司法 // 5054 PDF757,哈PDF763
又呈吳郎 // 5056 PDF758,哈PDF763
覃山人隱居 // 5098 PDF758,哈PDF764
栢學士茅屋 // 5102 PDF759,哈PDF764
題栢大兄弟山居屋壁二首 // 5106 PDF759,哈PDF765
寄栢學士林居 // 5110 PDF760,哈PDF765
寄從孫崇簡 // 5113 PDF760,哈PDF766
戲寄崔評事表姪蘇五表弟韋大少府諸姪 // 5122 PDF761,哈PDF766
季秋蘇五弟纓江樓夜宴崔十三評事韋少府姪三首 // 5116 PDF761,哈PDF766
季秋江村 // 5124 PDF762,哈PDF767
小園 // 5126 PDF762,哈PDF767
寒雨朝行視園樹 // 5128 PDF763,哈PDF767
傷秋 // 5133 PDF763,哈PDF768
卽事 // 5135 PDF764,哈PDF769
有歎 // 5374 PDF764,哈PDF769
耳聾 // 5140 PDF764,哈PDF769
獨坐二首 // 5143 PDF765,哈PDF769
雲 // 5156 PDF765,哈PDF770
月 // 5148 PDF766,哈PDF770
雨四首 // 5164 PDF766,哈PDF771
東屯月夜 // 5191 PDF767,哈PDF771
東屯北崦 // 5194 PDF767,哈PDF772
從驛次草堂復至東屯茅屋二首 // 5196 PDF767,哈PDF772
暫往白帝復還東屯 // 5199 PDF768,哈PDF772
茅堂檢校收稻二首 // 5201 PDF768,哈PDF773
刈稻了詠懷 // 5210 PDF769,哈PDF773
大曆二年九月三十日 // 5205 PDF769,哈PDF773
十月一日 // 5207 PDF769,哈PDF774
孟冬 // 5212 PDF770,哈PDF774
朝二首 // 5235 PDF770,哈PDF774
夜二首 // 5158 PDF771,哈PDF775
雷 // 5232 PDF771,哈PDF775
悶 // 5239 PDF771,哈PDF775
戲作俳諧體遣悶二首 // 5171 PDF772,哈PDF776
大覺高僧蘭若 // 5188 PDF773,哈PDF777
謁眞諦寺禪師 // 5257 PDF774,哈PDF778
上卿翁請修武侯廟遺像缺落時崔卿權夔州 // 5247 PDF774,哈PDF778
奉送卿二翁統節度鎭軍還江陵 // 5250 PDF774,哈PDF778
久雨期王將軍不至 // 5253 PDF775,哈PDF778

杜工部詩集卷之十八
大曆中公居夔州出峽至江陵作
虎牙行 // 5261 PDF776,哈PDF782
錦樹行 // 5265 PDF777,哈PDF783
自平 // 5269 PDF777,哈PDF784
寄裴施州 // 5275 PDF778,哈PDF785
鄭典設自施州歸 // 5281 PDF779,哈PDF786
寫懷二首 // 5288 PDF780,哈PDF787
可歎 // 5297 PDF782,哈PDF788
觀公孫大娘弟子舞劔器行 // 5308 PDF783,哈PDF790
荆南兵馬使太常卿趙公大食刀歌 // 4318 PDF785,哈PDF792
王兵馬使二角鷹 // 4328 PDF787,哈PDF794
冬至 // 5325 PDF788,哈PDF795
小至 // 5328 PDF788,哈PDF795
柳司馬至 // 5332 PDF789,哈PDF796
别李義 // 5379 PDF789,哈PDF796
送高司直尋封閬州 // 5335 PDF791,哈PDF798
奉送蜀州栢二别駕將中丞命赴江陵起居衞尚書太夫人因示從弟行軍司馬位 // 4310 PDF792,哈PDF799
奉賀陽城郡王太夫人恩命加鄧國太夫人 // 5037 PDF793,哈PDF800
送田四弟將軍將夔州栢中丞命起居江陵節度陽城郡王衞公幕 // 5042 PDF793,哈PDF801
寄杜位 // 5243 PDF794,哈PDF801
玉腕騮 // 5244 PDF794,哈PDF801
見王監兵馬使說近山有白黑二鷹羅者久取竟未能得王以爲毛骨有異他鷹恐臘後春生鶱飛避暖勁翮思秋之甚眇不可見請余賦詩二首 // 4337 PDF795,哈PDF802
送鮮于萬州遷巴州 // 5342 PDF796,哈PDF803
奉送十七舅下邵桂 // 5345 PDF796,哈PDF804
舍弟觀自藍田迎妻子到江陵因寄三首 // 5347 PDF797,哈PDF804
夜歸 // 5357 PDF798,哈PDF805
前苦寒行二首 // 5360 PDF798,哈PDF805
後苦寒行二首 // 5364 PDF799,哈PDF806
晚晴 // 5369 PDF800,哈PDF806
復陰 // 5372 PDF800,哈PDF807
元日示宗武 // 5385 PDF800,哈PDF807
又示宗武 // 5388 PDF801,哈PDF808
遠懷舍弟頴觀等 // 5391 PDF801,哈PDF808
續得觀書迎就當陽居止正月中旬定出三峽 // 5393 PDF802,哈PDF808
太歲日 // 5396 PDF802,哈PDF809
人日二首 // 5400 PDF803,哈PDF809
江梅 // 4367 PDF803,哈PDF810
庭草 // 4371 PDF804,哈PDF810
喜聞盜賊蕃寇總退口號五首 // 5405 PDF804,哈PDF810
送大理封主簿五郎親事不合却赴通州主簿前閬州賢子余與主簿平章鄭氏女子垂欲納采鄭氏伯父京書至女子已許他族親事遂停 // 5413 PDF806,哈PDF812
將别巫峽贈南卿兄瀼西果園四十畝 // 5421 PDF806,哈PDF813
大曆三年春白帝城放舩出瞿塘峽久居夔府將適江陵漂泊有詩凡四十韻 // 5434 PDF807,哈PDF813
巫山縣汾州唐使君十八弟宴别兼諸公攜酒樂相送率題小詩留於屋壁 // 5425 PDF810,哈PDF816
敬寄族弟唐十八使君 // 5427 PDF810,哈PDF817
春夜峽州田侍御長史津亭留宴得筵字 // 5432 PDF811,哈PDF817
泊松滋江亭 // 5452 PDF811,哈PDF818
行次古城店汎江作不揆鄙拙奉呈江陵幕府諸公 // 5455 PDF812,哈PDF818
乘雨入行軍六弟宅 // 5458 PDF812,哈PDF818
上巳日徐司錄林園宴集 // 5460 PDF812,哈PDF819
宴胡侍御書堂 // 5462 PDF813,哈PDF819
書堂飲旣夜復邀李尚書下馬月下賦絕句 // 5464 PDF813,哈PDF819
奉送蘇州李二十五長史丈之任 // 5466 PDF813,哈PDF819
暮春江陵送馬大卿公恩命追赴闕下 // 5469 PDF814,哈PDF820
和江陵宋大少府暮春雨後同諸公及舍弟宴書齋 // 5473 PDF815,哈PDF820
暮春陪李尚書李中丞過鄭監湖亭汎舟得過字 // 5475 PDF815,哈PDF821
宇文晁尚書之甥崔彧司業之孫尚書之子重汎鄭監前湖 // 5477 PDF815,哈PDF821
歸雁 // 5480 PDF816,哈PDF821
短歌行贈王郎司直 // 5483 PDF816,哈PDF822
憶昔行 // 5489 PDF817,哈PDF823

杜工部詩集卷之十九
大曆中公在江陵憇公安次岳州及居湖南作
惜别行送向卿進奉端午御衣之上都 // 5497 PDF819,哈PDF830
夏日楊長寧宅送崔侍御常正字入京得㴱字 // 5500 PDF819,哈PDF831
夏夜李尚書筵送宇文石首赴縣聯句 // 5503 PDF820,哈PDF831
多病執熱奉懷李尚書 // 5507 PDF821,哈PDF832
水宿遣興奉呈羣公 // 5510 PDF821,哈PDF832
遣悶 // 3935 PDF822,哈PDF833
江邊星月二首 // 5538 PDF823,哈PDF834
舟月對驛近寺 // 5526 PDF823,哈PDF834
舟中 // 5528 PDF824,哈PDF835
江陵節度陽城郡王新樓成王請嚴侍御判官賦七字句同作 // 5530 PDF824,哈PDF835
又作此奉衞王 // 5534 PDF825,哈PDF836
秋日荆南述懷三十韻 // 5542 PDF825,哈PDF836
秋日荆南送石首薛明府辭滿告别奉寄薛尚書頌德敘懷斐然之作三十韻 // 5557 PDF828,哈PDF839
獨坐 // 5568 PDF830,哈PDF842
暮歸 // 5571 PDF830,哈PDF842
