杜詩詳註卷之一
遊龍門奉先寺 // 0042 1.1,PDF1.74,津PDF2.2,PDF1.82
江漲 // 2263 2.813,PDF2.381,津PDF6.65,
朝雨 // 2277 2.814,PDF2.382,津PDF6.65,
晚晴 // 2281 2.814,PDF2.382,津PDF6.65,
高柟 // 2286 2.815,PDF2.383,津PDF6.66,
惡樹 // 2289 2.816,PDF2.384,津PDF6.66,
江畔獨步尋花七絶句 // 2219 2.816,PDF2.384,津PDF6.66,
進艇 // 2294 2.819,PDF2.387,津PDF6.68,
一室 // 2300 2.820,PDF2.388,津PDF6.69,
所思 // 2306 2.821,PDF2.389,津PDF6.69,
聞斛斯六官未歸 // 2311 2.823,PDF2.391,津PDF6.70,
赴青城縣出成都寄陶王二少尹 // 2383 2.824,PDF2.392,津PDF6.71,
野望因過常少仙 // 2389 2.825,PDF2.393,津PDF6.72,
丈人山 // 2393 2.826,PDF2.394,津PDF6.72,
寄杜位 // 2405 2.827,PDF2.395,津PDF6.73,
送裴五赴東川 // 2318 2.828,PDF2.396,津PDF6.74,
送韓十四江東省覲 // 2410 2.829,PDF2.397,津PDF6.74,
柟樹爲風雨所拔歎 // 2339 2.830,PDF2.398,津PDF6.75,
茅屋爲秋風所破歌 // 2345 2.831,PDF2.399,津PDF6.76,
石笋行 // 1982 2.833,PDF2.401,津PDF6.76,
石犀行 // 1988 2.835,PDF2.403,津PDF6.78,
杜鵑行 // 1989 2.837,PDF2.405,津PDF6.79,
逢唐興劉主簿弟 // 2395 2.839,PDF2.407,津PDF6.80,
敬簡王明府 // 2398 2.840,PDF2.408,津PDF6.81,
重簡王明府 // 2402 2.841,PDF2.409,津PDF6.81,
百憂集行 // 2353 2.842,PDF2.410,津PDF6.82,
徐卿二子歌 // 2326 2.843,PDF2.411,津PDF6.82,
戲作花卿歌 // 2329 2.844,PDF2.412,津PDF6.83,
贈花卿 // 2335 2.846,PDF2.414,津PDF6.84,
少年行二首 // 2256 2.848,PDF2.416,津PDF6.86,
贈虞十五司馬 // 2321 2.849,PDF2.417,津PDF6.87,
病柏 // 2358 2.851,PDF2.419,津PDF6.87,
病橘 // 2364 2.853,PDF2.421,津PDF6.88,
枯椶 // 2371 2.855,PDF2.423,津PDF6.89,
枯柟 // 2377 2.856,PDF2.424,津PDF6.90,
不見 // 2417 2.858,PDF2.426,津PDF6.91,
草堂即事 // 2424 2.860,PDF2.428,津PDF6.93,
徐九少尹見過 // 2429 2.861,PDF2.429,津PDF6.93,
范二員外邈吴十侍御郁特枉駕闕展待聊寄此作 // 2432 2.862,PDF2.430,津PDF6.93,
王十七侍御掄許攜酒至草堂奉寄此詩便請邀高三十五使君同到 // 2435 2.863,PDF2.431,津PDF6.94,
王竟攜酒高亦同過 // 2442 2.864,PDF2.432,津PDF6.95,
陪李七司馬皂江上觀造竹橋即日成往來之人免冬寒入水聊題短作簡李公 // 2445 2.865,PDF2.433,津PDF6.95,
觀作橋成月夜舟中有述還呈李司馬 // 2445 2.866,PDF2.434,津PDF6.96,
李司馬橋成承高使君自成都回 // 2453 2.866,PDF2.434,津PDF6.97,
入奏行贈西山檢察使竇侍御 // 2460 2.867,PDF2.435,津PDF6.97,
得廣州張判官叔卿書使還以詩代意 // 2476 2.871,PDF2.439,津PDF6.99,
魏十四侍御就敝廬相别 // 2484 2.871,PDF2.439,津PDF6.100,
贈别何邕 // 2487 2.872,PDF2.440,津PDF6.100,
絶句 // 2539 2.873,PDF2.441,津PDF6.101,
贈别鄭鍊赴襄陽 // 2493 2.874,PDF2.442,津PDF6.101,
重贈鄭鍊絶句 // 2497 2.875,PDF2.443,津PDF6.102,
江頭五詠 // 2516 2.876,PDF2.444,津PDF6.102,
野望 // 2454 2.880,PDF2.448,津PDF6.104,
畏人 // 2527 2.881,PDF2.449,津PDF6.105,
屛迹三首 // 2530 2.882,PDF2.450,津PDF6.105,
少年行 // 2537 2.884,PDF2.452,津PDF6.107,
即事 // 2541 2.884,PDF2.452,津PDF6.107,
奉酬嚴公寄題野亭之作 // 2542 2.886,PDF2.454,津PDF6.108,

杜詩詳註卷之十一
嚴中丞枉駕見過 // 2548 2.889,PDF2.457,津PDF7.2,
遭田父泥飲美嚴中丞 // 2552 2.890,PDF2.458,津PDF7.3,
奉和嚴中丞西城晚眺十韻 // 2560 2.893,PDF2.461,津PDF7.4,
中丞嚴公雨中垂寄見憶一絶奉答二絶 // 2565 2.895,PDF2.463,津PDF7.6,
謝嚴中丞送青城山道士乳酒一瓶 // 2568 2.896,PDF2.464,津PDF7.6,
三絶句 // 2570 2.896,PDF2.464,津PDF7.6,
戲爲六絶句 // 2501 2.898,PDF2.466,津PDF7.7,
野人送朱櫻 // 2576 2.902,PDF2.470,津PDF7.10,
嚴公仲夏枉駕草堂兼攜酒饌 // 2582 2.903,PDF2.471,津PDF7.11,
嚴公廳宴同詠蜀道畫圖 // 2588 2.905,PDF2.473,津PDF7.12,
戲贈友二首 // 2591 2.906,PDF2.474,津PDF7.12,
大雨 // 2594 2.907,PDF2.475,津PDF7.13,
溪漲 // 2598 2.909,PDF2.477,津PDF7.14,
大麥行 // 2600 2.910,PDF2.478,津PDF7.15,
奉送嚴公入朝十韻 // 2603 2.911,PDF2.479,津PDF7.15,
送嚴侍郎到綿州同登杜使君江樓宴 // 2608 2.914,PDF2.482,津PDF7.17,
奉濟驛重送嚴公四韻 // 2613 2.916,PDF2.484,津PDF7.18,
送梓州李使君之任 // 2615  2.916,PDF2.484,津PDF7.19,
觀打魚歌 // 2621 2.918,PDF2.486,津PDF7.19,
又觀打魚 // 2624 2.920,PDF2.488,津PDF7.20,
越王樓歌 // 2628 2.921,PDF2.489,津PDF7.21,
海椶行 // 2631 2.922,PDF2.490,津PDF7.22,
姜楚公畫角鷹歌 // 2633 2.924,PDF2.492,津PDF7.23,
東津送韋諷攝閬州録事 // 2636 2.924,PDF2.492,津PDF7.23,
光祿坂行 // 2639 2.925,PDF2.493,津PDF7.24,
苦戰行 // 2641 2.926,PDF2.494,津PDF7.24,
去秋行 // 2643 2.926,PDF2.494,津PDF7.25,
廣州段功曹到得楊五長史譚書功曹却歸聊寄此詩 // 2472 2.927,PDF2.495,津PDF7.25,
送段功曹歸廣州 // 2480 2.928,PDF2.496,津PDF7.26,
題玄武禪師屋壁 // 2654 2.929,PDF2.497,津PDF7.26,
悲秋 // 2658 2.931,PDF2.499,津PDF7.27,
客夜 // 2661 2.931,PDF2.499,津PDF7.28,
客亭 // 2664 2.932,PDF2.500,津PDF7.28,
九日登梓州城 // 2667 2.933,PDF2.501,津PDF7.29,
九日奉寄嚴大夫 // 2670 2.934,PDF2.502,津PDF7.29,
秋盡 // 2690 2.936,PDF2.504,津PDF7.31,
戲題寄上漢中王三首 // 2674 2.937,PDF2.505,津PDF7.31,
玩月呈漢中王 // 2681 2.940,PDF2.508,津PDF7.33,
從事行贈嚴二别駕 // 2685 2.940,PDF2.508,津PDF7.33,
贈韋贊善别 // 2850 2.943,PDF2.511,津PDF7.35,
寄高適 // 2651 2.943,PDF2.511,津PDF7.35,
野望 // 2694 2.944,PDF2.512,津PDF7.36,
冬到金華山觀因得故拾遺陳公學堂遺跡 // 2698 2.946,PDF2.514,津PDF7.37,
陳拾遺故宅 // 2703 2.947,PDF2.515,津PDF7.38,
謁文公上方 // 2707 2.949,PDF2.517,津PDF7.39,
奉贈射洪李四丈 // 2713 2.953,PDF2.521,津PDF7.41,
早發射洪縣南途中作 // 2716 2.954,PDF2.522,津PDF7.42,
通泉驛南去通泉縣十五里山水作 // 2720 2.956,PDF2.524,津PDF7.43,
過郭代公故宅 // 2723 2.957,PDF2.525,津PDF7.43,
觀薛稷少保書畫壁 // 2728 2.960,PDF2.528,津PDF7.45,
通泉縣署壁後薛少保畫鶴 // 2733 2.961,PDF2.529,津PDF7.45,
陪王侍御宴通泉東山野亭 // 2737 2.963,PDF2.531,津PDF7.47,
陪王侍御同登東山最高頂宴姚通泉晚攜酒泛江 // 2739 2.964,PDF2.532,津PDF7.47,
漁陽 // 2743 2.966,PDF2.534,津PDF7.49,
花底 // 2761 2.966,PDF2.534,津PDF7.49,
柳邊 // 2764 2.967,PDF2.535,津PDF7.49,
聞官軍收河南河北 // 2747 2.968,PDF2.536,津PDF7.50,
遠遊 // 2753 2.969,PDF2.537,津PDF7.51,
春日梓州登樓二首 // 2755 2.969,PDF2.537,津PDF7.51,
有感五首 // 3059 2.971,PDF2.539,津PDF7.52,
春日戲題惱郝使君兄 // 2759 2.978,PDF2.546,津PDF7.57,

杜詩詳註卷之十二
題郪原郭三十二明府茅屋壁 // 2917 3.981,PDF3.3,津PDF8.2,
奉送崔都水翁下峽 // 2766 3.982,PDF3.4,津PDF8.2,
郪城西原送李判官兄武判官弟赴成都府 // 2769 3.983,PDF3.5,津PDF8.3,
涪江泛舟送韋班歸京 // 2774 3.983,PDF3.5,津PDF8.3,
泛舟送魏十八倉曹還京因寄岑中允參范郎中季明 // 2776 3.984,PDF3.6,津PDF8.3,
送路六侍御入朝 // 2779 3.985,PDF3.7,津PDF8.4,
涪城縣香積寺官閣 // 2771 3.986,PDF3.8,津PDF8.4,
泛江送客 // 2782 3.987,PDF3.9,津PDF8.5,
雙燕 // 3030 3.987,PDF3.9,津PDF8.5,
百舌 // 3033 3.988,PDF3.10,津PDF8.6,
上牛頭寺 // 2784 3.989,PDF3.11,津PDF8.6,
望牛頭寺 // 2786 3.990,PDF3.12,津PDF8.7,
登牛頭山亭子 // 2789 3.990,PDF3.12,津PDF8.7,
上兜率寺 // 2791 3.991,PDF3.13,津PDF8.8,
望兜率寺 // 2795 3.993,PDF3.15,津PDF8.9,
甘園 // 2798 3.994,PDF3.16,津PDF8.9,
陪李梓州王閬州蘇遂州李果州四使君登惠義寺 // 2800 3.994,PDF3.16,津PDF8.10,
數陪李梓州泛江有女樂在諸舫戲爲艷曲二首贈李 // 2803 3.995,PDF3.17,津PDF8.10,
送何侍御歸朝 // 2808 3.998,PDF3.20,津PDF8.12,
江亭送眉州辛别駕昇之 // 3086 3.999,PDF3.21,津PDF8.12,
行次鹽亭縣聊題四韻奉簡嚴遂州蓬州兩使君咨議諸昆季 // 2810 3.1000,PDF3.22,津PDF8.13,
倚杖 // 2814 3.1001,PDF3.23,津PDF8.13,
惠義寺送王少尹赴成都 // 2817 3.1001,PDF3.23,津PDF8.14,
惠義寺園送辛員外 // 2819 3.1002,PDF3.24,津PDF8.14,
又送 // 2820 3.1002,PDF3.24,津PDF8.14,
巴西驛亭觀江漲呈竇十五使君二首 // 2823 3.1003,PDF3.25,津PDF8.15,
又呈竇使君 // 2828 3.1005,PDF3.27,津PDF8.16,
陪王漢州留杜綿州泛房公西湖 // 2830 3.1006,PDF3.28,津PDF8.17,
得房公池鵝 // 2834 3.1008,PDF3.30,津PDF8.18,
答楊梓州 // 2835 3.1008,PDF3.30,津PDF8.18,
舟前小鵝兒 // 2837 3.1009,PDF3.31,津PDF8.18,
官池春雁二首 // 2840 3.1009,PDF3.31,津PDF8.19,
投簡梓州幕府兼簡韋十郎官 // 2843 3.1010,PDF3.32,津PDF8.19,
漢川王大録事宅作 // 2845 3.1011,PDF3.33,津PDF8.20,
短歌行送祁録事歸合州因寄蘇使君 // 2852 3.1012,PDF3.34,津PDF8.20,
送韋郎司直歸成都 // 2854 3.1013,PDF3.35,津PDF8.21,
寄題江外草堂 // 2856 3.1013,PDF3.35,津PDF8.21,
陪章留後侍御宴南樓 // 2879 3.1016,PDF3.38,津PDF8.22,
臺上 // 2884 3.1017,PDF3.39,津PDF8.23,
送王十五判官扶侍還黔中 // 2870 3.1018,PDF3.40,津PDF8.24,
喜雨 // 2846 3.1019,PDF3.41,津PDF8.25,
述古三首 // 2862 3.1020,PDF3.42,津PDF8.25,
陪章留後惠義寺餞嘉州崔都督赴州 // 2875 3.1023,PDF3.45,津PDF8.27,
送竇九歸成都 // 2913 3.1025,PDF3.47,津PDF8.28,
章梓州水亭 // 2893 3.1025,PDF3.47,津PDF8.28,
章梓州橘亭餞成都竇少尹 // 2890 3.1026,PDF3.48,津PDF8.29,
隨章留後新亭會送諸君 // 2896 3.1027,PDF3.49,津PDF8.29,
客舊館 // 2902 3.1027,PDF3.49,津PDF8.30,
戲作寄上漢中王二首 // 2899 3.1028,PDF3.50,津PDF8.30,
椶拂子 // 2886 3.1030,PDF3.52,津PDF8.31,
送陵州路使君之任 // 2905 3.1031,PDF3.53,津PDF8.32,
送元二適江左 // 2909 3.1032,PDF3.54,津PDF8.33,
九日 // 2915 3.1034,PDF3.56,津PDF8.33,
對雨 // 2955 3.1034,PDF3.56,津PDF8.34,
薄暮 // 2923 3.1035,PDF3.57,津PDF8.34,
閬州奉送二十四舅使自京赴任青城 // 2930 3.1036,PDF3.58,津PDF8.35,
王閬州筵奉酬十一舅惜别之作 // 2932 3.1037,PDF3.59,津PDF8.35,
閬州東樓筵奉送十一舅往青城 // 2935 3.1038,PDF3.60,津PDF8.36,
放船 // 2939 3.1040,PDF3.62,津PDF8.37,
薄遊 // 2942 3.1041,PDF3.63,津PDF8.37,
嚴氏溪放歌 // 2945 3.1041,PDF3.63,津PDF8.38,
警急 // 2960 3.1043,PDF3.65,津PDF8.39,
王命 // 2963 3.1044,PDF3.66,津PDF8.39,
征夫 // 2967 3.1045,PDF3.67,津PDF8.40,
西山三首 // 2969 3.1045,PDF3.67,津PDF8.40,
與嚴二郎奉禮别 // 2949 3.1048,PDF3.70,津PDF8.42,
贈裴南部 // 2952 3.1049,PDF3.71,津PDF8.42,
巴山 // 2979 3.1050,PDF3.72,津PDF8.43,
早花 // 3014 3.1051,PDF3.73,津PDF8.44,
發閬中 // 2986 3.1051,PDF3.73,津PDF8.44,
江陵望幸 // 2982 3.1052,PDF3.74,津PDF8.44,
愁坐 // 2958 3.1054,PDF3.76,津PDF8.45,
遣憂 // 2976 3.1054,PDF3.76,津PDF8.46,
冬狩行 // 2988 3.1055,PDF3.77,津PDF8.47,
山寺 // 2994 3.1059,PDF3.81,津PDF8.49,
桃竹杖引贈章留别 // 3000 3.1062,PDF3.84,津PDF8.50,
將適吴楚留别章使君留後兼幕府諸公 // 3005 3.1064,PDF3.86,津PDF8.52,
舍弟占歸草堂檢校聊示此詩 // 3011 3.1066,PDF3.88,津PDF8.53,
歲暮 // 3016 3.1067,PDF3.89,津PDF8.54,
送李卿曄 // 3025 3.1068,PDF3.90,津PDF8.54,
釋悶 // 3056 3.1070,PDF3.92,津PDF8.55,
贈别賀蘭銛 // 3088 3.1071,PDF3.93,津PDF8.56,

杜詩詳註卷之十三
閬山歌 // 3074 3.1073,PDF3.95,津PDF9.2,
閬水歌 // 3077 3.1074,PDF3.96,津PDF9.2,
江亭王閬州筵餞蕭遂州 // 3083 3.1075,PDF3.97,津PDF9.3,
陪王使君晦日泛江就黄家亭子二首 // 3079 3.1076,PDF3.98,津PDF9.3,
泛江 // 3092 3.1077,PDF3.99,津PDF9.4,
收京 // 3049 3.1078,PDF3.100,津PDF9.5,
巴西聞收京闕送班司馬入京二首 // 3052 3.1079,PDF3.101,津PDF9.5,
城上 // 3028 3.1080,PDF3.102,津PDF9.6,
傷春五首 // 3036 3.1081,PDF3.103,津PDF9.6,
暮寒 // 3095 3.1087,PDF3.109,津PDF9.10,
遊子 // 3097 3.1087,PDF3.109,津PDF9.10,
滕王亭子二首 // 3099 3.1088,PDF3.110,津PDF9.11,
玉臺觀二首 // 3104 3.1090,PDF3.112,津PDF9.12,
奉寄章十侍御 // 3110 3.1093,PDF3.115,津PDF9.14,
南池 // 2925 3.1094,PDF3.116,津PDF9.14,
將赴荆南寄别李劍州 // 5418 3.1097,PDF3.119,津PDF9.16,
奉寄别馬巴州 // 3021 3.1098,PDF3.120,津PDF9.17,
奉待嚴大夫 // 3114 3.1099,PDF3.121,津PDF9.17,
渡江 // 3093 3.1100,PDF3.122,津PDF9.18,
自閬州領妻子却赴蜀山行三首 // 3117 3.1101,PDF3.123,津PDF9.19,
别房太尉墓 // 3122 3.1103,PDF3.125,津PDF9.20,
將赴成都草堂途中有作先寄嚴鄭公五首 // 3124 3.1105,PDF3.127,津PDF9.21,
春歸 // 3135 3.1110,PDF3.132,津PDF9.24,
歸來 // 3138 3.1112,PDF3.134,津PDF9.25,
草堂 // 3141 3.1112,PDF3.134,津PDF9.26,
四松 // 3151 3.1116,PDF3.138,津PDF9.28,
題桃樹 // 3148 3.1118,PDF3.140,津PDF9.29,
水檻 // 3155 3.1120,PDF3.142,津PDF9.30,
破船 // 3158 3.1121,PDF3.143,津PDF9.30,
奉寄高常侍 // 3168 3.1122,PDF3.144,津PDF9.31,
贈王二十四侍御契四十韻 // 3183 3.1123,PDF3.145,津PDF9.32,
登樓 // 3162 3.1130,PDF3.152,津PDF9.36,
寄邛州崔録事 // 3172 3.1132,PDF3.154,津PDF9.37,
王録事許修草堂貲不到聊小詰 // 3174 3.1133,PDF3.155,津PDF9.37,
歸雁 // 3175 3.1134,PDF3.156,津PDF9.38,
絶句二首 // 3177 3.1134,PDF3.156,津PDF9.38,
寄司馬山人十二韻 // 3179 3.1136,PDF3.158,津PDF9.39,
黄河二首 // 3197 3.1138,PDF3.160,津PDF9.40,
揚旗 // 3229 3.1139,PDF3.161,津PDF9.41,
絶句六首 // 3218 3.1141,PDF3.163,津PDF9.42,
絶句四首 // 3224 3.1142,PDF3.164,津PDF9.43,
寄李十四員外布十二韻 // 5517 3.1145,PDF3.167,津PDF9.45,
軍中醉歌寄沈八劉叟 // 3234 3.1147,PDF3.169,津PDF9.46,
丹青引 // 3200 3.1147,PDF3.169,津PDF9.46,
韋諷録事宅觀曹將軍畫馬圖歌 // 3207 3.1152,PDF3.174,津PDF9.49,
送韋諷上閬州録事參軍 // 3214 3.1156,PDF3.178,津PDF9.52,
太子張舍人遺織成褥段 // 3249 3.1158,PDF3.180,津PDF9.53,
憶昔二首 // 3236 3.1161,PDF3.183,津PDF9.54,

杜詩詳註卷之十四
寄董卿嘉榮十韻 // 3258 3.1167,PDF3.189,津PDF9.58,
立秋雨院中有作 // 3256 3.1169,PDF3.191,津PDF9.59,
奉和嚴鄭公軍城早秋 // 3263 3.1170,PDF3.192,津PDF9.59,
院中晚晴懷西郭茅舍 // 3266 3.1171,PDF3.193,津PDF9.60,
宿府 // 3273 3.1172,PDF3.194,津PDF9.61,
到村 // 3268 3.1173,PDF3.195,津PDF9.61,
村雨 // 3271 3.1175,PDF3.197,津PDF9.62,
獨坐 // 5568 3.1175,PDF3.197,津PDF9.62,
倦夜 // 2920 3.1176,PDF3.198,津PDF9.63,
陪鄭公秋晚北池臨眺 // 3290 3.1177,PDF3.199,津PDF9.63,
遣悶奉呈嚴公二十韻 // 3276 3.1179,PDF3.201,津PDF9.64,
送舍弟穎赴齊州三首 // 3299 3.1182,PDF3.204,津PDF9.66,
嚴鄭公階下新松 // 3283 3.1183,PDF3.205,津PDF9.67,
嚴鄭公宅同詠竹 // 3285 3.1184,PDF3.206,津PDF9.67,
晚秋陪嚴鄭公摩訶池泛舟 // 3287 3.1184,PDF3.206,津PDF9.67,
奉觀嚴鄭公廳事岷山沲江畫圖十韻 // 3293 3.1186,PDF3.208,津PDF9.68,
過故斛斯校書莊二首 // 3245  3.1189,PDF3.211,津PDF9.69,
懷舊 // 3310 3.1188,PDF3.210,津PDF9.70,
哭台州鄭司戶蘇少監 // 3312  3.1190,PDF3.212,津PDF9.70,
别唐十五誡因寄禮部賈侍郎 // 3304 3.1193,PDF3.215,津PDF9.72,
初冬 // 3319 3.1196,PDF3.218,津PDF9.74,
觀李固請司馬弟山水圖三首 // 3322 3.1197,PDF3.219,津PDF9.74,
至後 // 3328 3.1199,PDF3.221,津PDF9.75,
寄賀蘭銛 // 3333 3.1200,PDF3.222,津PDF9.76,
送王侍御往東川放生池祖席 // 3331 3.1200,PDF3.222,津PDF9.76,
正月三日歸溪上有作簡院內諸公 // 3337 3.1201,PDF3.223,津PDF9.77,
敝廬遣興奉寄嚴公 // 3339 3.1202,PDF3.224,津PDF9.77,
營屋 // 3365 3.1202,PDF3.224,津PDF9.77,
除草 // 3342 3.1203,PDF3.225,津PDF9.78,
春日江村五首 // 3346 3.1205,PDF3.227,津PDF9.79,
長吟 // 3370 3.1209,PDF3.231,津PDF9.81,
春遠 // 3358 3.1210,PDF3.232,津PDF9.82,
絶句三首 // 3361 3.1210,PDF3.232,津PDF9.82,
三韻三篇 // 3381 3.1211,PDF3.233,津PDF9.82,
天邊行 // 3018 3.1212,PDF3.234,津PDF9.83,
莫相疑行 // 3373 3.1213,PDF3.235,津PDF9.83,
赤霄行 // 3377 3.1215,PDF3.237,津PDF9.84,
聞高常侍亡 // 3425 3.1216,PDF3.238,津PDF9.85,
去蜀 // 3390 3.1217,PDF3.239,津PDF9.86,
喜雨 // 3368 3.1218,PDF3.240,津PDF9.86,
宿青溪驛奉懷張員外十五兄之緒 // 3393 3.1218,PDF3.240,津PDF9.87,
狂歌行贈四兄 // 3396 3.1219,PDF3.241,津PDF9.87,
宴戎州楊使君東樓 // 3401 3.1221,PDF3.243,津PDF9.88,
渝州候嚴六侍御不到先下峽 // 3405 3.1222,PDF3.244,津PDF9.89,
撥悶 // 3408 3.1223,PDF3.245,津PDF9.90,
宴忠州使君姪宅 // 3412 3.1224,PDF3.246,津PDF9.90,
禹廟 // 3415 3.1225,PDF3.247,津PDF9.91,
題忠州龍興寺所居院壁 // 3419 3.1226,PDF3.248,津PDF9.91,
哭嚴僕射歸櫬 // 3422 3.1227,PDF3.249,津PDF9.92,
旅夜書懷 // 3428 3.1228,PDF3.250,津PDF9.93,
放船 // 3433 3.1230,PDF3.252,津PDF9.93,
雲安九日鄭十八攜酒陪諸公宴 // 3436 3.1231,PDF3.253,津PDF9.94,
答鄭十七郎一絶 // 3438 3.1231,PDF3.253,津PDF9.94,
别常徵君 // 3440 3.1232,PDF3.254,津PDF9.94,
長江二首 // 3442 3.1232,PDF3.254,津PDF9.95,
承聞故房相公靈櫬自閬州啓殯歸葬東都有作二首 // 3447 3.1234,PDF3.256,津PDF9.96,
將曉二首 // 3454 3.1236,PDF3.258,津PDF9.97,
懷錦水居止二首 // 3459 3.1237,PDF3.259,津PDF9.98,
青絲 // 3463 3.1239,PDF3.261,津PDF9.99,
三絶句 // 3466 3.1240,PDF3.262,津PDF9.100,
遣憤 // 3470 3.1242,PDF3.264,津PDF9.101,
十二月一日三首 // 3473 3.1243,PDF3.265,津PDF9.102,
又雪 // 3480 3.1246,PDF3.268,津PDF9.104,
雨 // 3483 3.1247,PDF3.269,津PDF9.104,
南楚 // 3485 3.1248,PDF3.270,津PDF9.104,
水閣朝霽奉簡嚴雲安嚴明府 // 3488 3.1248,PDF3.270,津PDF9.105,
杜鵑 // 3491 3.1249,PDF3.271,津PDF9.106,
子規 // 3498 3.1252,PDF3.274,津PDF9.107,
客居 // 3504 3.1253,PDF3.275,津PDF9.107,
石硯 // 0338 3.1255,PDF3.277,津PDF9.109,
贈鄭十八賁 // 3511 3.1256,PDF3.278,津PDF9.110,
别蔡十四著作 // 3516 3.1259,PDF3.281,津PDF9.111,
寄常徵君 // 3521 3.1261,PDF3.283,津PDF9.112,
寄岑嘉州 // 3525 3.1262,PDF3.284,津PDF9.113,

杜詩詳註卷之十五
移居夔州郭 // 3529 3.1265,PDF3.287,津PDF10.2,
船下夔州郭宿雨濕不得上岸别王十二判官 // 3531 3.1266,PDF3.288,津PDF10.2,
漫成一絶 // 3535 3.1267,PDF3.289,津PDF10.3,
客堂 // 3537 3.1267,PDF3.289,津PDF10.3,
引水 // 3544 3.1270,PDF3.292,津PDF10.5,
示獠奴阿段 // 3546 3.1271,PDF3.293,津PDF10.5,
上白帝城 // 3553 3.1272,PDF3.294,津PDF10.6,
上白帝城二首 // 3556 3.1273,PDF3.295,津PDF10.7,
陪諸公上白帝城頭宴越公堂之作 // 3561 3.1275,PDF3.297,津PDF10.8,
白帝城最高樓 // 3564 3.1276,PDF3.298,津PDF10.9,
武侯廟 // 3569 3.1277,PDF3.299,津PDF10.9,
八陣圖 // 3572 3.1278,PDF3.300,津PDF10.10,
曉望白帝城鹽山 // 4373 3.1280,PDF3.302,津PDF10.11,
灩澦堆 // 3737 3.1281,PDF3.303,津PDF10.12,
老病 // 4379 3.1282,PDF3.304,津PDF10.13,
近聞 // 3502 3.1283,PDF3.305,津PDF10.13,
負薪行 // 3583 3.1284,PDF3.306,津PDF10.14,
最能行 // 3587 3.1286,PDF3.308,津PDF10.15,
寄韋有夏郎中 // 3550 3.1287,PDF3.309,津PDF10.16,
峽中覽物 // 3591 3.1288,PDF3.310,津PDF10.16,
憶鄭南 // 3595 3.1290,PDF3.312,津PDF10.17,
贈崔十三評事公輔 // 3598 3.1290,PDF3.312,津PDF10.17,
奉寄李十五秘書文嶷二首 // 3607 3.1293,PDF3.315,津PDF10.19,
雷 // 3619 3.1295,PDF3.317,津PDF10.20,
火 // 3643 3.1297,PDF3.319,津PDF10.21,
熱三首 // 3626 3.1300,PDF3.322,津PDF10.23,
夔州歌十絶句 // 3747 3.1302,PDF3.324,津PDF10.24,
毒熱寄簡崔評事十六弟 // 3658 3.1307,PDF3.329,津PDF10.27,
信行遠修水筒 // 3664 3.1309,PDF3.331,津PDF10.28,
催宗文樹雞柵 // 3670 3.1311,PDF3.333,津PDF10.29,
貽華陽柳少府 // 3612 3.1314,PDF3.336,津PDF10.30,
七月三日亭午已後校熱退晚加小涼穩睡有詩因論壯年樂事戲呈元二十一曹長 // 3633 3.1316,PDF3.338,津PDF10.32,
牽牛織女 // 3649 3.1320,PDF3.342,津PDF10.34,
雨 // 3694 3.1323,PDF3.345,津PDF10.36,
雨 // 3698 3.1325,PDF3.347,津PDF10.37,
雨二首 // 3702 3.1326,PDF3.348,津PDF10.37,
江上 // 3930 3.1328,PDF3.350,津PDF10.39,
雨晴 // 3918 3.1330,PDF3.352,津PDF10.39,
雨不絶 // 3708 3.1330,PDF3.352,津PDF10.40,
晚晴 // 3712 3.1332,PDF3.354,津PDF10.40,
雨 // 3683 3.1332,PDF3.354,津PDF10.41,
奉漢中王手札 // 3890 3.1333,PDF3.355,津PDF10.41,
返照 // 3940 3.1336,PDF3.358,津PDF10.42,
晴二首 // 4404 3.1337,PDF3.359,津PDF10.43,
雨 // 4410 3.1338,PDF3.360,津PDF10.44,
殿中楊監見示張旭草書圖 // 3714 3.1338,PDF3.360,津PDF10.44,
楊監又出畫鷹十二扇 // 3718 3.1340,PDF3.362,津PDF10.45,
送殿中楊監赴蜀見相公 // 3721 3.1342,PDF3.364,津PDF10.46,
贈李十五丈别 // 3726 3.1344,PDF3.366,津PDF10.47,
種萵苣 // 3686 3.1347,PDF3.369,津PDF10.49,
白帝 // 3740 3.1350,PDF3.372,津PDF10.50,
黄草 // 3743 3.1351,PDF3.373,津PDF10.51,
白鹽山 // 3734 3.1352,PDF3.374,津PDF10.52,
謁先主廟 // 4145 3.1353,PDF3.375,津PDF10.52,
古柏行 // 3575 3.1357,PDF3.379,津PDF10.55,

杜詩詳註卷之十六
諸將五首 // 3763 3.1363,PDF3.385,津PDF10.58,
八哀詩 // 3955 3.1372,PDF3.394,津PDF10.64,
夔府書懷四十韻 // 4161 3.1420,PDF3.442,津PDF10.93,
往在 // 4129 3.1428,PDF3.450,津PDF10.98,
昔遊 // 4110 3.1435,PDF3.457,津PDF10.102,
壯遊 // 4083 3.1438,PDF3.460,津PDF10.103,
遣懷 // 4119 3.1447,PDF3.469,津PDF10.109,
奉漢中王手札報韋侍御蕭尊師亡 // 3896 3.1450,PDF3.472,津PDF10.110,
存歿口號二首 // 3899 3.1451,PDF3.473,津PDF10.111,

杜詩詳註卷之十七
贈李八秘書别三十韻 // 4725 4.1455,PDF4.3,津PDF11.2,
